,title,picNum,huxing,location,company,area,direct,floors,broker,time,addition,sum_money_w,avg_mile_y
0,有钥匙海淀田村山南路金隅瑞和园全明3室1厅,8,3室1厅1卫,金隅瑞和园                                                                                 -                                                                                     海淀                                                                                 -                                                                                     田村山南路33号,北京易轩房地产经纪有限公司,97.04,南北,高层(共16层),马千千,广告,距离1号线八宝山地铁站1435米,550.0,56678
1,城建琨廷-电梯洋房-总高9层-在7层-小区中心-,17,3室2厅1卫,北京城建琨廷(北区)                                                                                 -                                                                                     房山                                                                                 -                                                                                     于瓦北路17号,北京世纪幸福房地产经纪有限公司,94.5,南,高层(共9层),李格,1天前,无,225.0,23810
2,世爵源墅南北大院子5室2厅1500万豪装,18,5室2厅3卫,世爵源墅(别墅)                                                                                 -                                                                                     通州                                                                                 -                                                                                     半壁店大街112号,北京兆兴同兴房地产经纪有限公司,331.4,南北,共3层,刘萍,1天前,无,1500.0,45263
3,新挂牌家的感觉就是这样-不妨进来看看-会有您理想,13,4室2厅3卫,绿茵花园别墅                                                                                 -                                                                                     大兴                                                                                 -                                                                                     庞安路,北京家瑞房地产经纪有限公司,213.0,南北,共3层,张雨,1天前,无,600.0,28170
4,好房要淘好房难得进来看看五星经纪人为您服务,11,3室2厅2卫,季庄小区                                                                                 -                                                                                     密云                                                                                 -                                                                                     公园街,北京金色时光房地产经纪有限公司,101.33,南北,低层(共6层),陈萍,1天前,无,200.0,19738
5,甘家口建设部大院满五年唯一电梯直达无遮挡,15,2室3厅1卫,建设部大院                                                                                 -                                                                                     海淀                                                                                 -                                                                                     三里河路9号,北京我爱我家房地产经纪有限公司,111.84,西北,中层(共20层),李会军,2天前,距离9号线白石桥南地铁站462米,1200.0,107297
6,燕山杏花西里两居室诚心出售,6,2室1厅1卫,杏花西里                                                                                 -                                                                                     房山                                                                                 -                                                                                     迎风街,北京华熙房地产经纪有限公司,57.56,南北,高层(共6层),王媛,1天前,距离燕房线燕山地铁站1351米,100.0,17374
7,世纪家园两室两厅一卫,8,2室2厅1卫,世纪家园                                                                                 -                                                                                     密云                                                                                 -                                                                                     新中街,北京吉永达房地产经纪有限公司,78.39,南北,高层(共6层),尤子晗,2天前,无,210.0,26790
8,季庄小区-独立精装三居-双卫-临河公园-成熟商业,9,3室1厅2卫,季庄小区                                                                                 -                                                                                     密云                                                                                 -                                                                                     公园街,北京吉永达房地产经纪有限公司,101.33,南北,低层(共6层),李海燕,1天前,无,198.0,19541
9,京南一居小户型南北通透特价房源仅三套小户型,8,1室1厅1卫,华瑞欣苑                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     霸杨线,霸州市恒成企业管理有限公司,66.0,南北,低层(共15层),王凤伟,10小时前,无,23.0,3485
10,大兴新机场旁-现房-外地人直接网签-购一层送一层,14,2室1厅1卫,空港跃界                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     曹韩线,霸州市亿宸房地产经纪有限公司,48.0,南北,中层(共17层),李洋,10小时前,无,42.0,8750
11,绿地北区此房精装修-独立两室-环境优美。,9,2室1厅1卫,绿地国际花都                                                                                 -                                                                                     密云                                                                                 -                                                                                     城后街32号,北京吉永达房地产经纪有限公司,85.0,南北,中层(共20层),徐晓梅,1天前,无,210.0,24706
12,霸州市区唯一（现房）无团购！费！70年大产周边学,7,2室2厅1卫,丽水康城                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     益昌路,霸州市德赢房地产经纪有限公司,82.0,南北,低层(共18层),陈静,14小时前,无,70.0,8537
13,六里桥7号院南北大两居出售有钥匙,11,2室1厅1卫,六里桥7号院                                                                                 -                                                                                     丰台                                                                                 -                                                                                     莲怡园东路,北京联众枫荷房地产经纪有限公司,71.0,南北,低层(共6层),范春艳,1天前,距离9号线六里桥地铁站486米,445.0,62677
14,大兴新机场北京新亦庄现房首付10万五证齐全直接网,11,2室1厅1卫,丽晶城                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     恒山北路,霸州市亿宸房地产经纪有限公司,72.0,南北,中层(共15层),苏各,1天前,无,62.0,8612
15,北京通州K2十里春风两居室三居室主卧客厅朝南,23,2室2厅1卫,K2十里春风                                                                                 -                                                                                     通州                                                                                 -                                                                                     漷小路,北京海客天下房地产经纪有限公司,72.0,南北,中层(共25层),贾玲玲,2天前,无,170.0,23612
16,潮白生态城一手现房首付25万买两居-直接网签不线,12,2室1厅1卫,潮白生态城                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     和谐街,三河市兴达永承房地产经纪有限公司,62.0,东,高层(共19层),赵晶,2天前,无,85.0,13710
17,惠通新苑2居室74.09平168万带装修,7,2室1厅1卫,惠通新苑                                                                                 -                                                                                     门头沟                                                                                 -                                                                                     西杨坨军温路22号,北京金城阜业房地产经纪有限公司,75.09,南,中层(共18层),李萍,2小时前,无,168.0,22374
18,绿地北区48.78平米120万电梯房看房方,7,1室1厅1卫,绿地花都嘉园                                                                                 -                                                                                     密云                                                                                 -                                                                                     新西路40号,北京吉永达房地产经纪有限公司,48.73,南北,中层(共15层),王建华,1天前,无,120.0,24626
19,固安孔雀城荣园-南入户大堡联排别墅。上下三层五居,14,5室2厅4卫,孔雀城荣园(别墅)                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     孔雀大道-近家和路,固安县久居房地产经纪有限责任公司,249.0,南北,共1层,许艳,10-06,无,370.0,14860
20,大兴正南固安现房首付15万得三居直接网签门口9,9,3室2厅1卫,牛驼温泉孔雀城                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     金海街,霸州市德赢房地产经纪有限公司,116.0,南北,低层(共18层),张海燕,13小时前,无,92.0,7932
21,怀柔新贤家园精装两居无营业税带地下室3,7,2室2厅1卫,新贤家园                                                                                 -                                                                                     怀柔                                                                                 -                                                                                     滨湖南街,北京天地神通房地产经纪有限公司,90.23,南北,中层(共11层),彭文娟,1天前,无,356.0,39455
22,东木樨园-赵公口电梯两居-诚意卖-随时看房,8,2室1厅1卫,东木樨园                                                                                 -                                                                                     丰台                                                                                 -                                                                                     南三环中路,北京海客天下房地产经纪有限公司,76.83,东南,中层(共9层),李军伟,18分钟前,距离8号线南段木樨园地铁站614米,400.0,52063
23,华润公元九里一天未住有钥匙-老客户房子-欢迎,10,3室2厅2卫,华润公元九里                                                                                 -                                                                                     大兴                                                                                 -                                                                                     乐园路20号,北京市兴商房地产经纪中心有限公司,157.14,南北,中层(共13层),王海洋,1天前,距离4号线高米店南地铁站1076米,940.0,59820
24,大兴机场旁首付19万得现房两居直接网签央企开发紧,9,2室2厅1卫,中科嘉会城                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     廊霸路,霸州市德赢房地产经纪有限公司,74.0,南北,低层(共15层),王登亮,1天前,无,65.0,8784
25,永清高速口旁-海伦堡麓璟台-校区房均价8300赠,10,3室2厅1卫,麓璟台                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     恒山北路,永清县川洋智禾房地产经纪有限公司,104.0,南,中层(共18层),李紫旭,2天前,无,83.0,7981
26,育龙铭居精装2居南北通透,5,2室2厅1卫,育龙铭居                                                                                 -                                                                                     怀柔                                                                                 -                                                                                     乐园大街,北京龙筑房地产经纪有限公司,66.35,南北,低层(共12层),芦燕,2天前,无,165.0,24869
27,东菜园小区-独立三居室-南北通透-价格好,7,3室2厅2卫,东菜园小区                                                                                 -                                                                                     密云                                                                                 -                                                                                     鼓楼东大街,北京吉永达房地产经纪有限公司,118.0,南北,高层(共6层),李晓红,2天前,无,242.0,20509
28,季庄小区库上2层本五无税看房方便价格有商,9,3室1厅2卫,季庄小区                                                                                 -                                                                                     密云                                                                                 -                                                                                     公园街,北京吉永达房地产经纪有限公司,101.33,南北,低层(共6层),魏超,1天前,无,200.0,19738
29,燕山杏花西里小区两居室诚心出售,8,2室1厅1卫,杏花西里                                                                                 -                                                                                     房山                                                                                 -                                                                                     迎风街,北京华熙房地产经纪有限公司,60.26,南,中层(共6层),王媛,1天前,距离燕房线燕山地铁站1351米,113.0,18753
30,新机场南25公里校区现房配套齐全外地人直接网,8,2室2厅1卫,牛驼温泉小镇                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     平安路,霸州市德赢房地产经纪有限公司,85.0,南北,低层(共18层),程金鹏,2天前,无,70.0,8236
31,黄村地铁口附近外地人可买送车位送菜地低首付,9,3室2厅1卫,观成兰苑                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     京环线,霸州市亿宸房地产经纪有限公司,86.0,南北,中层(共18层),王江颖,7小时前,无,38.0,4419
32,人大附小世纪城时雨园高层观景三居室双卧南,10,3室2厅2卫,时雨园(蓝靛厂)                                                                                 -                                                                                     海淀                                                                                 -                                                                                     蓝靛厂路,北京中原房地产经纪有限公司,166.0,东南,高层(共21层),王明宇,4分钟前,距离10号线火器营地铁站858米,1360.0,81928
33,人大附小世纪城远大园三区西南向三居室客厅主,9,3室2厅1卫,远大园三区                                                                                 -                                                                                     海淀                                                                                 -                                                                                     远大中路,北京中原房地产经纪有限公司,130.66,西南,低层(共19层),王明宇,5分钟前,距离10号线长春桥地铁站704米,1180.0,90311
34,东兴二区核心地段-核心位置-无税房-诚意出售,10,3室1厅1卫,东兴第二社区                                                                                 -                                                                                     顺义                                                                                 -                                                                                     大东路,北京金色时光房地产经纪有限公司,102.6,南北,高层(共6层),张雨,8分钟前,距离15号线顺义地铁站891米,305.0,29728
35,雄！安东大门现房紧邻高铁站配套齐全北京大,7,1室1厅1卫,华瑞欣苑                                                                                 -                                                                                     北京周边                                                                                 -                                                                                     霸杨线,霸州市亿宸房地产经纪有限公司,48.0,南北,低层(共18层),卞玉华,12分钟前,无,20.0,4167
36,东五环南向精装开间业主诚意出售看房方便,5,1室1厅1卫,富力又一城C区                                                                                 -                                                                                     朝阳                                                                                 -                                                                                     大鲁店北路,信诚联行（北京）房地产经纪有限公司,47.32,南,中层(共21层),赵敏,13分钟前,无,268.0,56636
37,东五环富力又一城南北通透两居业主诚意出售,7,2室2厅1卫,富力又一城B区                                                                                 -                                                                                     朝阳                                                                                 -                                                                                     大鲁店北路,信诚联行（北京）房地产经纪有限公司,93.78,南,高层(共21层),赵敏,13分钟前,无,490.0,52250
38,新街口二炮医院南向一居精装自住电梯房采光,6,1室1厅1卫,新街口外大街21号院                                                                                 -                                                                                     海淀                                                                                 -                                                                                     新街口外大街21号,北京我爱我家房地产经纪有限公司,38.7,南,中层(共14层),程相前,14分钟前,距离2号线积水潭地铁站1007米,375.0,96900
39,梨园幸福时光三层明厨明卫大两居,19,2室2厅1卫,幸福时光                                                                                 -                                                                                     通州                                                                                 -                                                                                     通州区云景东路71号,北京万家鼎盛房地产经纪有限公司,97.0,南北,共5层,张军,3小时前,距离八通线梨园地铁站1436米,400.0,41238
